   X    Y  Type
  78   24    3 
  83   13    2 
  32   41    1 
  38   12    3 
  71    4    3 
  16   19    3 
  99   67    3 
  44   66    1 
 100   85    1 
  77   61    2 
  42   19    3 
  62   54    2 
  48   75    3 
  43   25    3 
   2   96    3 
  77   83    3 
   2   12    3 
  38   58    2 
  95   28    3 
  53   38    2 
   5   23    1 
   1   79    2 
  59   43    2 
  67   38    2 
  28   95    2 
   6   16    2 
  15    8    2 
  54   52    2 
  59   58    3 
  32   56    1 
  35   64    1 
  38   18    2 
  95   20    1 
  80   95    1 
  55   84    1 
  51   97    3 
  86   25    3 
  67   62    1 
  50   48    1 
  98   11    2 
   9   17    2 
  43   84    2 
  50   15    3 
   5   75    1 
   5   29    2 
  82   46    2 
  66   75    3 
  53   58    3 
  54   17    3 
  56   47    2 
  50   16    2 
  17   45    2 
  35   99    1 
  95   19    3 
  84   94    1 
  38   11    3 
  11   24    3 
  15   62    2 
  45   26    3 
  94   95    2 
   5   42    1 
  14   56    2 
   6   23    2 
  74   25    2 
   5   65    2 
  31    9    1 
   3   39    2 
  99   10    1 
  17   69    2 
  97    4    1 
  60   45    2 
  32   58    3 
  72   22    2 
  79   20    3 
  53    3    3 
  60   11    1 
  99   25    1 
  57   32    2 
  97   31    2 
  91   75    1 
  81   72    1 
   4   21    1 
  50   68    3 
  98   81    3 
  87   60    3 
  73   24    2 
  34   41    1 
  54   37    3 
  57   23    1 
  79   53    1 
  12   31    1 
  97   10    3 
  67   22    3 
  77   60    1 
  83   49    3 
  81   35    1 
  40   65    3 
   9   75    1 
  21   89    2 
  96   98    3 
  72   79    3 
  60   96    2 
  99   55    2 
  86   35    3 
   1   17    2 
  93   21    2 
  36   13    1 
  85   92    2 
  90   70    3 
  96   66    3 
  75   98    2 
  54   87    3 
  22   14    3 
  67   37    1 
  63   13    1 
  95   72    3 
  55   85    3 
  25  100    1 
  80    7    2 
  56    7    1 
  78   88    1 
  91   25    1 
  99   87    1 
   4   82    3 
  56   20    3 
   1   95    1 
  71   14    2 
  91   38    2 
  44   12    2 
  86   74    1 
  58  100    3 
  75   82    2 
  42    9    3 
  46   89    1 
  44   71    3 
  30   23    2 
  54   60    3 
  84    4    3 
  21   37    3 
  78    8    2 
  80   98    3 
  30   82    1 
 100   63    2 
  33   36    1 
  36   17    1 
   6   34    1 
  63   84    2 
  22   17    2 
  10   85    2 
  53   37    3 
  90   37    1 
  12   89    1 
  63   89    2 
  97   57    2 
  29   22    2 
  80   33    2 
  17   11    3 
  13    9    2 
  63   44    3 
  82    5    2 
  59   96    2 
  57   28    1 
  42   49    1 
  50   51    2 
  37   64    3 
  71   12    1 
  29   71    1 
  98   28    2 
   1   25    3 
  79   47    1 
  89   64    2 
  28   88    2 
  31   12    1 
  71   96    2 
  82    3    3 
 100   21    3 
  19   32    2 
  23   93    2 
  60    7    3 
  71   42    1 
  71   78    3 
  35   76    1 
  15   50    2 
  30    5    1 
  34   29    3 
  66   66    1 
  18   38    2 
  11    3    3 
  63    4    3 
  40   81    3 
  48   28    2 
  41    7    2 
 100   35    2 
  98    6    2 
   1   79    2 
  28   64    2 
  88   38    1 
  96   40    1 
   6   51    3 
  66   28    1 
  81   10    3 
  54   68    2 
  15   77    1 
   7   15    3 
  81   85    2 
   9   89    2 
  91   90    3 
   7   57    3 
 100   92    2 
  29    6    2 
  61   13    1 
  16   97    3 
  40   97    2 
  88   12    2 
  36   71    3 
  72   14    2 
  30   78    2 
  14   52    1 
  14   95    2 
  78   79    3 
  91   62    1 
  87   91    3 
  13    2    3 
  55   34    2 
  17    5    2 
  78   92    2 
  53   39    3 
  42   77    1 
  20   57    2 
   3   27    3 
  40   53    3 
  79   91    3 
  16   60    1 
  80   21    2 
  75   37    1 
  55   64    1 
  63   63    1 
  30   17    3 
  82   56    2 
  20   12    2 
   9   69    2 
  38   77    1 
  84   58    3 
  81   68    3 
  88   40    2 
  10   28    3 
  73   31    1 
  17   20    1 
  96   60    2 
  41   59    1 
  97  100    2 
  94    3    1 
  40   69    1 
  95   61    2 
  27   29    1 
  28   74    2 
  36   90    2 
  82   96    3 
  98   64    2 
  65   29    2 
  76   59    3 
  16   15    3 
  76   93    3 
  56    2    3 
  52   84    2 
  28   97    1 
  76   81    1 
  44   12    2 
  52   96    3 
  53   35    2 
  36   47    2 
  75   15    3 
  39   17    3 
  95   95    3 
  99   77    1 
  73   82    2 
  50   18    1 
  36   29    3 
  35   51    3 
   4   69    2 
  17   86    2 
  78   62    1 
  17   70    1 
  81   34    3 
  15   41    3 
  86   33    1 
  48   56    2 
  59   39    2 
  37   52    1 
  21   82    1 
  22    3    3 
  65   14    3 
  78   30    1 
  90  100    3 
  95   40    3 
   2   65    3 
  33    5    1 
  51   49    2 
  33   86    1 
  23   96    2 
  99    5    3 
  97   36    2 
  65   22    3 
  80   72    3 
  96   93    1 
  97   25    1 
   6   66    1 
  24   31    1 
  56   77    1 
  84   50    2 
  76   86    3 
  15   75    3 
  52   52    3 
  83   95    3 
  34   71    2 
  12   41    2 
  66   35    1 
  80   54    2 
  48   31    1 
  15   61    2 
  63   23    1 
  66   66    2 
  91   66    1 
  89   16    1 
  30   59    1 
  32   45    1 
  24   23    2 
  50   68    2 
  57   39    2 
  88   62    3 
  21   39    3 
  62   61    1 
  75   30    3 
  12   64    1 
  75   80    3 
  49   86    1 
  62   98    1 
  72   29    1 
  84   68    1 
  34   50    3 
  43   60    3 
  76   88    2 
   7   44    1 
  82   20    1 
  72    3    3 
  63   47    3 
  52   56    2 
  65   26    1 
  60   61    3 
   5   83    3 
  63   74    1 
  98   92    3 
  69   40    2 
  57   84    3 
  54   86    3 
  39   14    2 
  57   87    3 
  11   61    1 
  24   74    3 
   3   31    3 
  79   19    2 
  15   71    2 
   7   88    3 
  90   77    1 
  23    7    3 
  64   60    3 
   6   93    3 
  74   95    1 
  34   68    3 
  77   82    1 
  96   89    3 
  29   75    1 
  75    4    2 
  73   81    2 
  37   25    2 
  10   74    1 
  93   33    1 
  23   37    1 
  18   30    3 
   8   81    2 
  73   35    2 
  33    3    2 
  93   55    1 
  35   14    2 
   7   59    2 
  73   10    1 
  51   86    1 
  80   65    2 
  45   41    1 
  18   99    2 
  95   47    3 
  21   90    1 
  59   22    3 
  44   13    1 
  77   30    1 
  88   75    3 
  61   51    3 
  63   72    3 
  81   58    2 
  58   83    1 
  88   44    3 
   1   58    2 
   7   58    1 
  18   58    3 
  49   99    1 
  79   55    3 
  91   64    2 
  99   84    3 
  29   92    3 
  65   52    1 
  37   71    2 
  98   63    1 
  22   16    1 
  69   69    2 
  52   84    2 
  74    9    1 
  48   48    3 
  38   19    3 
  14   18    1 
  51   95    2 
  71   62    2 
  94   33    3 
  78   44    3 
  15   33    3 
   5   99    2 
   7   61    2 
  23   34    1 
   7   92    3 
  46   76    2 
   9    2    1 
  80   71    2 
  32   43    1 
  78    8    1 
  58    2    2 
  42   86    2 
  96   42    3 
  39   32    3 
  73   18    1 
  95   45    3 
  77   22    1 
  17   75    2 
  62   35    2 
  87   92    1 
  76   99    3 
   5   19    3 
   4   84    1 
  18    7    3 
  71   16    3 
  96   88    3 
  68   91    3 
  74   89    2 
  48   94    2 
  87   67    1 
  69   14    2 
  80   66    2 
  30   85    3 
   3   30    2 
  23    7    2 
  55   60    1 
   5    2    2 
  29   83    1 
  61   22    1 
  31   59    1 
  96   60    3 
  88   72    1 
  13   12    2 
  63   55    1 
  82    5    3 
  27   45    1 
   1   61    3 
  58   75    2 
  34   98    1 
  57   15    3 
  20   94    1 
  63   93    1 
   3   93    1 
  79   93    3 
   4   64    1 
  53   38    1 
  85   45    1 
  66   13    1 
  18   25    2 
  22   53    2 
  64   17    1 
  44   70    1 
  71   95    2 
  23   30    3 
  38    3    1 
  18    3    2 
  85   19    3 
  16   65    2 
 100   34    2 
  15   28    3 
  90   86    1 
  66   72    1 
  99   47    3 
  11   83    3 
  25   63    1 
  90   54    3 
  19   10    3 
  91    2    3 
  96   35    2 
  84   75    1 
  97    7    2 
  78   39    3 
  59   98    3 
  35   34    3 
  66   12    1 
  45   31    3 
  93   17    1 
  63   40    3 
  99   63    3 
  46   88    2 
  26   77    3 
  59   81    3 
   1   28    2 
  45   46    2 
  69   64    2 
  35   56    3 
  28   56    3 
  20   72    2 
  75   95    3 
  46   23    1 
  29   24    1 
  68   33    3 
   6   51    1 
  17   72    2 
  78    8    3 
  79   75    2 
  48   48    1 
  22   43    3 
  29   19    1 
  74   94    3 
  29   11    3 
  77    9    3 
  91   60    3 
   2   82    3 
   2   82    3 
  33   64    3 
  94   26    3 
  43   77    3 
  78   43    2 
  67   63    2 
  39   14    3 
  30   75    2 
  33   39    1 
  50   54    1 
  64   10    1 
   1   95    1 
  63   61    3 
  91   89    1 
  67   77    3 
  24   25    2 
   8   98    3 
  15    7    3 
  59   86    1 
   5   14    3 
  59   71    3 
  48   12    1 
  57   32    3 
  68   69    2 
  42   22    1 
  61   10    1 
  49   23    2 
  25   27    2 
  91    1    1 
   6   89    3 
  57   23    3 
  46   38    1 
  86   50    1 
  54   13    1 
  56   35    1 
  95   41    2 
  63   98    1 
  43   36    3 
  65   81    3 
  39   23    3 
  24   54    2 
  48   33    2 
  29   71    2 
  38   70    2 
  15   38    1 
  89   58    3 
  53   40    3 
  86   29    2 
  72   31    3 
  36   52    1 
  79   22    1 
  55   50    2 
  63   81    1 
  46   23    3 
  67   28    3 
  57   62    2 
  70   45    2 
  90   78    3 
  55   97    1 
  87   19    3 
  42   37    3 
  85   78    2 
  25   93    2 
  37   61    1 
  82   21    1 
   2   26    1 
  52   80    3 
  36   56    1 
  12   90    1 
   7   77    1 
  97   80    1 
  87   29    2 
  26   77    1 
  42   30    3 
  70    2    2 
  75   32    1 
  35   80    2 
  27   29    2 
  35    7    1 
  98   30    2 
  56   76    3 
  80   94    1 
  59   38    2 
  98   61    2 
  15   34    3 
  68   66    3 
  76   13    3 
  58   56    3 
  91   27    2 
  42   32    2 
  83   59    3 
   8   88    3 
  98   45    3 
  71   76    3 
  44   76    2 
  32   51    2 
   8   54    2 
  87   89    3 
  77   11    2 
  42   11    1 
  87    5    3 
  21   46    2 
  59   34    2 
  97   59    2 
  19   81    3 
  61   54    3 
  94   25    2 
  11   27    3 
  41   30    3 
   8   26    1 
  37   44    3 
  49   18    2 
  22   76    3 
  73   17    2 
  22   87    2 
  87   60    3 
  57   30    1 
  15  100    1 
  73   80    1 
  28   18    2 
  46   69    3 
  90   31    1 
  29   57    3 
  38   19    3 
  34   80    3 
  88   84    3 
  61   67    2 
  28   50    1 
  75   24    1 
  33   18    2 
  11   61    1 
  26   31    3 
  49   30    2 
  42    1    2 
  14   45    1 
  75    2    1 
   6   49    1 
  29   30    3 
  36   49    3 
  24   87    3 
  84   40    1 
  86   47    2 
  40   83    2 
  25   87    2 
  19   90    3 
  12   32    2 
   1   27    1 
  47   38    3 
  64   25    2 
  76  100    1 
  84    6    2 
  94   97    3 
  33   59    1 
  65  100    1 
 100   98    3 
  98   78    3 
  30  100    1 
  32   43    3 
  29   96    1 
  73   29    2 
  76   54    3 
   1   37    1 
  52    3    1 
  23   53    3 
  21   31    3 
  11   22    1 
  93   17    1 
  26   95    3 
  65   53    2 
  63   14    2 
  58   28    3 
  48   57    2 
  14   92    2 
  33   48    2 
  60   52    2 
  88   12    3 
  41   18    3 
  73   64    1 
  45   57    1 
  78   60    1 
   7   76    2 
  22   26    1 
  92   82    2 
   5   30    1 
   1   76    2 
  61   77    1 
   1   69    2 
  16   49    1 
  58   56    1 
  41   67    2 
  43   38    2 
  17   13    2 
  78   93    2 
  72   21    2 
  15   65    1 
  39   77    2 
  23   42    1 
  20    5    1 
  30   29    1 
  29   87    1 
  65   40    2 
  70   92    2 
  17    3    3 
  75   41    1 
  18   26    1 
  71   73    1 
  28   63    3 
   6   82    3 
  67   34    3 
   2   64    2 
  34   11    2 
  71   30    3 
  72   92    1 
  81   54    2 
  66   90    3 
   9   58    3 
  79   51    1 
  37   90    2 
  28   63    1 
  70   84    3 
  92   67    3 
  10   49    1 
   2   92    2 
  98   33    3 
  55   12    1 
  39   25    3 
  83   39    3 
  37    7    2 
   8   24    2 
  23   39    1 
  13   66    1 
  51   12    3 
  72   28    3 
  66   91    2 
  85    4    3 
  58   38    1 
  53   51    3 
  14   99    1 
  87   67    3 
  24   14    3 
  65   60    1 
  92   39    2 
  98   93    3 
  74   33    1 
  67   50    3 
   6   55    1 
  75   73    3 
  13   47    2 
   5    1    3 
  57   12    1 
  82   84    1 
  76   99    1 
  94   71    1 
  20   41    3 
  28   90    3 
  26    3    1 
  90   67    3 
  39    8    3 
  37   30    3 
  51   15    1 
  45    7    3 
